SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,Condo/Co-op,460 S Spring St #211,Los Angeles,CA,90013,649000,1,1,C42 - Downtown L.A.,1026,30787,1912,17,Active,,,http://www.redfin.com/CA/Los-Angeles/460-S-Spring-St-90013/unit-211/home/17231318,CRISNet,63044609,N,Y,34.0474284,-118.2490188
MLS Listing,Condo/Co-op,8025 Redlands St #1,Playa Del Rey,CA,90293,662500,4,2.25,Playa Del Rey,1428,34889,1970,18,Active,,,http://www.redfin.com/CA/Los-Angeles/8025-Redlands-St-90293/unit-1/home/6627200,TheMLS,63033163,N,Y,33.9579499,-118.435011
MLS Listing,Single Family Residential,7112 Mclaren Ave,West Hills,CA,91307,589000,3,2,WEH - West Hills,1153,6900,1956,18,Active,,,http://www.redfin.com/CA/Los-Angeles/7112-McLaren-Ave-91307/home/3111725,CRISNet,63032152,N,Y,34.199677,-118.624215
MLS Listing,Condo/Co-op,120 North Swall Dr #303,Los Angeles (City),CA,90048,1150000,2,3.5,Beverly Center/Miracle Mile,1627,17632,1989,23,Active,,,http://www.redfin.com/CA/Los-Angeles/120-N-Swall-Dr-90048/unit-303/home/6814905,TheMLS,62962448,N,Y,34.0757438,-118.3855221
MLS Listing,Condo/Co-op,645 West 9th St #238,Los Angeles (City),CA,90015,689900,1,1,Downtown Los Angeles,988,74818,2006,23,Active,December-11-2016 02:00 PM,December-11-2016 05:00 PM,http://www.redfin.com/CA/Los-Angeles/645-W-9th-St-90015/unit-238/home/17226426,TheMLS,62960894,N,Y,34.045812,-118.2606014
MLS Listing,Single Family Residential,1400 North Fuller Ave #6,Los Angeles (City),CA,90046,1368000,2,2.5,West Hollywood Vicinity,1728,1824,2014,23,Active,,,http://www.redfin.com/CA/Los-Angeles/1400-N-Fuller-Ave-90046/unit-6/home/79039740,TheMLS,62956894,N,Y,34.095979,-118.349196
MLS Listing,Townhouse,5656 Etiwanda Ave #3,Tarzana,CA,91356,499000,3,2.5,TAR - Tarzana,1673,210893,1974,24,Active,December-11-2016 01:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/5656-Etiwanda-Ave-91356/unit-3/home/4075928,CRISNet,62952884,N,Y,34.1737899,-118.52994
MLS Listing,Single Family Residential,4011 Farmouth Dr,Los Angeles (City),CA,90027,2595000,4,4.5,Los Feliz,3543,8027,1954,29,Active,December-11-2016 01:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/4011-Farmouth-Dr-90027/home/7136051,TheMLS,62880482,N,Y,34.1182934,-118.2821254
MLS Listing,Condo/Co-op,2263 Fox Hills Dr #201,Los Angeles (City),CA,90064,699000,2,2,Westwood/Century City,985,12501,1987,29,Active,,,http://www.redfin.com/CA/Los-Angeles/2263-Fox-Hills-Dr-90064/unit-201/home/17224311,TheMLS,62869657,N,Y,34.0509428,-118.4154862
MLS Listing,Multi-Family (2-4 Unit),923 North Heliotrope Dr,Los Angeles (City),CA,90029,996000,7,3,Hollywood,2671,6249,1921,43,Active,,,http://www.redfin.com/CA/Los-Angeles/923-N-Heliotrope-Dr-90029/home/7110326,TheMLS,62694390,N,Y,34.0887311,-118.2953017
MLS Listing,Condo/Co-op,15002 Magnolia Blvd #4,Sherman Oaks,CA,91403,419000,2,2.5,SO - Sherman Oaks,954,7197,1986,51,Active,,,http://www.redfin.com/CA/Los-Angeles/15002-W-Magnolia-Blvd-91403/unit-4/home/4805711,CRISNet,62577156,N,Y,34.164542,-118.4598
MLS Listing,Single Family Residential,10451 Sandal Ln,Los Angeles (City),CA,90077,1490000,3,1.75,Bel Air (Holmby Hills),1892,12873,1947,57,Active,,,http://www.redfin.com/CA/Los-Angeles/10451-Sandal-Ln-90077/home/6830216,TheMLS,62476885,N,Y,34.0987999,-118.4439465
MLS Listing,Multi-Family (2-4 Unit),416 West 51st St,Los Angeles (City),CA,90037,399500,5,4,Downtown Los Angeles,2518,5504,1908,61,Active,,,http://www.redfin.com/CA/Los-Angeles/416-W-51st-St-90037/home/6861971,TheMLS,62404491,N,Y,33.9962804,-118.2811818
MLS Listing,Single Family Residential,10313 Christine Pl,Chatsworth,CA,91311,1099000,4,3.5,CHT - Chatsworth,3989,17614,1976,66,Active,,,http://www.redfin.com/CA/Los-Angeles/10313-Christine-Pl-91311/home/5781799,CRISNet,62346273,N,Y,34.2577873,-118.5617493
MLS Listing,Townhouse,1029 North Vista St #102,West Hollywood,CA,90046,999500,2,2.5,West Hollywood Vicinity,1850,6148,2008,72,Active,December-11-2016 01:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/West-Hollywood/1029-N-Vista-St-90046/unit-102/home/22608648,TheMLS,62083105,N,Y,34.089523,-118.352599
MLS Listing,Single Family Residential,17044 Oak View Dr,Encino,CA,91436,1799000,3,2.5,ENC - Encino,3498,20329,1971,82,Active,,,http://www.redfin.com/CA/Los-Angeles/17044-Oak-View-Dr-91436/home/4942836,CRISNet,61929148,N,Y,34.1509586,-118.505488
MLS Listing,Single Family Residential,13415 Margate St,Sherman Oaks,CA,91401,1098000,4,3.5,SO - Sherman Oaks,2405,6534,1951,85,Active,December-11-2016 02:00 PM,December-11-2016 05:00 PM,http://www.redfin.com/CA/Los-Angeles/13415-Margate-St-91401/home/5186393,CRISNet,61870031,N,Y,34.1676745,-118.4251695
MLS Listing,Single Family Residential,10456 El Dorado Ave,Pacoima,CA,91331,364000,2,1,Pacoima (PAC),959,6121,1948,149,Active,,,http://www.redfin.com/CA/Los-Angeles/10456-El-Dorado-Ave-91331/home/5603062,TheMLS,60355997,N,Y,34.260287,-118.418464
MLS Listing,Multi-Family (2-4 Unit),1068 Bay View Ave,Wilmington,CA,90744,460000,4,2,195 - West Wilmington,1958,6649,1922,1,Active,,,http://www.redfin.com/CA/Los-Angeles/1068-Bay-View-Ave-90744/home/7677923,CRMLS,63223758,N,Y,33.7844401,-118.2700592
MLS Listing,Single Family Residential,715 E 89th St,Los Angeles,CA,90002,150000,4,2,C34 - Los Angeles Southwest,1171,5140,1927,1,Active,,,http://www.redfin.com/CA/Los-Angeles/715-E-89th-St-90002/home/7297546,CRMLS,63223584,N,Y,33.955846,-118.262396
MLS Listing,Condo/Co-op,1663 Michael Ln,Pacific Palisades,CA,90272,1270000,3,3,Pacific Palisades,1857,,1977,1,Active,,,http://www.redfin.com/CA/Los-Angeles/1663-Michael-Ln-90272/unit-7/home/6848619,TheMLS,63223521,N,Y,34.0802005,-118.5646039
MLS Listing,Single Family Residential,621 W Denni St,Wilmington,CA,90744,325000,2,1,195 - West Wilmington,852,2105,1925,1,Active,,,http://www.redfin.com/CA/Los-Angeles/621-W-Denni-St-90744/home/7677656,CRMLS,63223485,N,Y,33.7847591,-118.2699487
MLS Listing,Multi-Family (2-4 Unit),5526 W Barton Ave,Los Angeles,CA,90038,2099000,14,8,C20 - Hollywood,5387,7045,2016,1,Active,,,http://www.redfin.com/CA/Los-Angeles/5526-Barton-Ave-90038/home/7108734,CRMLS,63223340,N,Y,34.0873658,-118.312382
MLS Listing,Single Family Residential,16429 Rayen St,North Hills,CA,91343,625000,3,2,North Hills (NOH),1740,9751,1947,1,Active,December-11-2016 11:00 AM,December-11-2016 02:00 PM,http://www.redfin.com/CA/Los-Angeles/16429-Rayen-St-91343/home/5745154,TheMLS,63223198,N,Y,34.232325,-118.490371
MLS Listing,Townhouse,10201 Mason Ave #41,Chatsworth,CA,91311,368900,2,2.25,CHT - Chatsworth,1520,331891,1980,1,Active,,,http://www.redfin.com/CA/Los-Angeles/10201-Mason-Ave-91311/unit-41/home/5831045,CRISNet,63223097,N,Y,34.2551932,-118.5801083
MLS Listing,Condo/Co-op,4140 Glencoe #508,Marina Del Rey,CA,90292,1141990,2,2.5,Marina Del Rey,1502,,2016,1,Active,,,http://www.redfin.com/CA/Marina-del-Rey/4140-Glencoe-Ave-90292/unit-508/home/112365839,TheMLS,63223058,N,Y,33.989317,-118.44128
MLS Listing,Condo/Co-op,4140 Glencoe Ave #602,Marina Del Rey,CA,90292,1268990,2,2,Marina Del Rey,1516,,2016,1,Active,,,http://www.redfin.com/CA/Marina-del-Rey/4140-Glencoe-Ave-90292/unit-602/home/112365838,TheMLS,63223057,N,Y,33.989317,-118.44128
MLS Listing,Condo/Co-op,4140 Glencoe Ave #611,Marina Del Rey,CA,90292,935990,2,2,Marina Del Rey,1074,,2016,1,Active,,,http://www.redfin.com/CA/Marina-del-Rey/4140-Glencoe-Ave-90292/unit-611/home/112365837,TheMLS,63223056,N,Y,33.989317,-118.44128
MLS Listing,Condo/Co-op,4140 Glencoe Ave #310,Marina Del Rey,CA,90292,831990,2,2,Marina Del Rey,1178,,2016,1,Active,,,http://www.redfin.com/CA/Marina-del-Rey/4140-Glencoe-Ave-90292/unit-310/home/112365836,TheMLS,63223055,N,Y,33.989317,-118.44128
MLS Listing,Condo/Co-op,4140 Glencoe Ave #407,Marina Del Rey,CA,90292,857990,2,2,Marina Del Rey,1178,,,1,Active,,,http://www.redfin.com/CA/Marina-del-Rey/4140-Glencoe-Ave-90292/unit-407/home/112365835,TheMLS,63223054,N,Y,33.989317,-118.44128
MLS Listing,Single Family Residential,1511 W 71st St,Los Angeles,CA,90047,355000,3,2,C34 - Los Angeles Southwest,1160,4680,1924,1,Active,December-11-2016 02:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/1511-W-71st-St-90047/home/7279861,CRMLS,63223044,N,Y,33.975625,-118.302852
MLS Listing,Single Family Residential,19559 Vanowen St,Reseda,CA,91335,499900,2,1,RES - Reseda,1438,6240,1951,1,Active,December-11-2016 11:00 AM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/19559-Vanowen-St-91335/home/3889433,CRISNet,63222942,N,Y,34.1940555,-118.5599443
MLS Listing,Single Family Residential,,Chatsworth,CA,91311,434990,3,1,CHT - Chatsworth,918,7176,1937,1,Active,December-11-2016 02:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/Undisclosed-address-91311/home/8095895,CRISNet,63222877,N,Y,,
MLS Listing,Single Family Residential,9972 Arleta Ave,Arleta,CA,91331,469000,5,2,Arleta (ARL),2040,6017,1953,1,Active,December-11-2016 11:00 AM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/9972-Arleta-Ave-91331/home/5655993,TheMLS,63222361,N,Y,34.251761,-118.435843
MLS Listing,Single Family Residential,2024 Vestal Ave,Los Angeles (City),CA,90026,939000,2,3,Silver Lake/Echo Park,1365,1966,2015,1,Active,,,http://www.redfin.com/CA/Los-Angeles/2024-Vestal-Ave-90026/home/100387908,TheMLS,63222311,N,Y,34.0892987,-118.2519007
MLS Listing,Condo/Co-op,1440 Veteran Ave #315,Los Angeles (City),CA,90024,479000,1,1,Westwood/Century City,661,96893,1972,1,Active,,,http://www.redfin.com/CA/Los-Angeles/1440-Veteran-Ave-90024/unit-315/home/6802940,TheMLS,63222310,N,Y,34.053424,-118.4435699
MLS Listing,Vacant Land,0 Passmore Dr,Los Angeles,CA,,150000,,,C03 - Sunset Strip - Hollywood Hills West,,10926,,1,Active,,,http://www.redfin.com/CA/Los-Angeles/Unknown-90068/home/22980397,CRMLS,63221889,N,Y,34.12461,-118.35181
MLS Listing,Vacant Land,0 Forest Park Dr,Los Angeles,CA,,95000,,,676 - Monterey Hills,,11317,,1,Active,,,http://www.redfin.com/CA/Los-Angeles/Forest-Park-Dr-90032/home/62165471,CRMLS,63221888,N,Y,34.07849,-118.19708
MLS Listing,Condo/Co-op,5036 Echo St #11,Los Angeles,CA,90042,380000,2,1.5,632 - Highland Park,992,93644,1984,1,Active,,,http://www.redfin.com/CA/Los-Angeles/5036-Echo-St-90042/unit-11/home/7076836,CRMLS,63221875,N,Y,34.103671,-118.199888
MLS Listing,Single Family Residential,946 Gatun St,San Pedro,CA,90731,716000,3,2,193 - San Pedro - North,1879,14402,1963,1,Active,December-17-2016 01:30 PM,December-17-2016 04:30 PM,http://www.redfin.com/CA/Los-Angeles/946-Gatun-St-90731/home/7686352,CRMLS,63221870,N,Y,33.7573522,-118.2987712
MLS Listing,Single Family Residential,7701 Paso Robles Ave,Lake Balboa,CA,91406,469900,4,2.75,LKBL - Lake Balboa,1389,7205,1949,1,Active,,,http://www.redfin.com/CA/Los-Angeles/7701-Paso-Robles-Ave-91406/home/4330654,CRISNet,63221347,N,Y,34.210399,-118.502629
MLS Listing,Single Family Residential,11955 Gager St,Lakeview Terrace,CA,91342,460000,3,2,673 - Lake View Terrace,1170,7900,1959,1,Active,,,http://www.redfin.com/CA/Los-Angeles/11955-Gager-St-91342/home/5471192,CRISNet,63221342,N,Y,34.280762,-118.393766
MLS Listing,Single Family Residential,11853 Stone Gate Way,Northridge,CA,91326,1290000,4,3.5,NR - Northridge,4013,17264,1998,1,Active,,,http://www.redfin.com/CA/Los-Angeles/11853-Stone-Gate-Way-91326/home/5769894,CRISNet,63221339,N,Y,34.28888,-118.567365
MLS Listing,Townhouse,10831 Roycroft St #7,Sun Valley,CA,91352,435000,3,2.25,672 - Shadow Hills,1486,788291,1979,1,Active,December-13-2016 10:00 AM,December-13-2016 01:00 PM,http://www.redfin.com/CA/Los-Angeles/10831-Roycroft-St-91352/unit-7/home/5494372,i-Tech MLS,63221196,N,Y,34.2402879,-118.3670647
