,bathrooms,bedrooms,graph_data_link,home_detail_link,home_size,home_type,last_sold_date,last_sold_price,latitude,longitude,property_size,tax_value,tax_year,year_built,zestimate_amount,zestimate_last_updated,zestimate_percentile,zestimate_valuationRange_low,zestimate_valuation_range_high,zestimate_value_change,zillow_id
0,3.0,4,http://www.zillow.com/homedetails/10385-SW-Mockingbird-Way-Beaverton-OR-97007/48544000_zpid/#charts-and-data,http://www.zillow.com/homedetails/10385-SW-Mockingbird-Way-Beaverton-OR-97007/48544000_zpid/,2121,SingleFamily,09/10/1993,179500,45.444857,-122.829495,10454,402240.0,2015,1989,482604,02/06/2017,0,458474,506734,-1735,48544000
1,1.0,1,http://www.zillow.com/homedetails/9635-SE-Harold-St-Portland-OR-97266/53952116_zpid/#charts-and-data,http://www.zillow.com/homedetails/9635-SE-Harold-St-Portland-OR-97266/53952116_zpid/,1273,SingleFamily,,,45.482927,-122.564431,9078,163850.0,2015,1901,264276,02/06/2017,0,214064,285418,-3651,53952116
2,1.0,2,http://www.zillow.com/homedetails/3966-N-Gantenbein-Ave-Portland-OR-97227/53837913_zpid/#charts-and-data,http://www.zillow.com/homedetails/3966-N-Gantenbein-Ave-Portland-OR-97227/53837913_zpid/,719,SingleFamily,08/16/2002,142000,45.551765,-122.668795,2500,317120.0,2015,1927,389423,02/06/2017,0,354375,420577,1417,53837913
3,2.0,3,http://www.zillow.com/homedetails/8017-N-Dana-Ave-Portland-OR-97203/53974104_zpid/#charts-and-data,http://www.zillow.com/homedetails/8017-N-Dana-Ave-Portland-OR-97203/53974104_zpid/,1308,SingleFamily,11/30/1994,105950,45.58179,-122.71273,10000,379530.0,2015,1905,424244,02/06/2017,0,381820,466668,-2997,53974104
4,1.0,0,,http://www.zillow.com/homedetails/3056-NE-Holladay-St-APT-505-Portland-OR-97232/2099471057_zpid/,340,MultiFamily2To4,,,45.52981,-122.6333,,,,,612893,02/06/2017,0,484185,704827,45318,2099471057
5,2.0,3,http://www.zillow.com/homedetails/7200-SW-Sylvan-Ct-Portland-OR-97225/48594644_zpid/#charts-and-data,http://www.zillow.com/homedetails/7200-SW-Sylvan-Ct-Portland-OR-97225/48594644_zpid/,1524,SingleFamily,09/01/1982,62500,45.504585,-122.751092,10454,363310.0,2015,1945,439562,02/06/2017,0,417584,461540,1461,48594644
6,2.0,3,http://www.zillow.com/homedetails/2614-SE-Alder-St-Hillsboro-OR-97123/48593367_zpid/#charts-and-data,http://www.zillow.com/homedetails/2614-SE-Alder-St-Hillsboro-OR-97123/48593367_zpid/,1425,SingleFamily,,,45.513229,-122.955853,10620,272140.0,2015,1969,333756,02/06/2017,0,310393,350444,1862,48593367
7,3.0,3,http://www.zillow.com/homedetails/8031-N-Leavitt-Ave-12-5-Portland-OR-97203/72260424_zpid/#charts-and-data,http://www.zillow.com/homedetails/8031-N-Leavitt-Ave-12-5-Portland-OR-97203/72260424_zpid/,1657,Condominium,10/03/2014,229250,45.591473,-122.75289,,185960.0,2015,2007,329930,02/06/2017,0,313434,346426,1610,72260424
8,1.0,3,http://www.zillow.com/homedetails/2330-NE-121st-Ave-Portland-OR-97220/53911973_zpid/#charts-and-data,http://www.zillow.com/homedetails/2330-NE-121st-Ave-Portland-OR-97220/53911973_zpid/,960,SingleFamily,06/15/2016,250000,45.539116,-122.538452,6098,158680.0,2015,1955,260822,02/06/2017,0,247781,276471,-109,53911973
9,2.0,3,http://www.zillow.com/homedetails/12925-Noblewood-Ave-Oregon-City-OR-97045/48275729_zpid/#charts-and-data,http://www.zillow.com/homedetails/12925-Noblewood-Ave-Oregon-City-OR-97045/48275729_zpid/,1506,SingleFamily,10/22/1993,133500,45.318851,-122.602424,20371,324776.0,2015,1978,404987,02/06/2017,0,376638,449536,3489,48275729
